DATE (MM/DD/YYYY),HOUR-MST,Avg Avg Wind Speed @ 80m [m/s]
1/28/2011,20,2.2248
1/28/2011,21,0.8431
1/28/2011,22,1.4815
1/28/2011,23,4.0890
1/29/2011,0,5.6604
1/29/2011,1,2.9080
1/29/2011,2,2.7644
1/29/2011,3,3.1882
1/29/2011,4,4.4262
1/29/2011,5,8.0659
1/29/2011,6,8.1272
1/29/2011,7,8.1495
1/29/2011,8,12.3077
1/29/2011,9,8.4911
1/29/2011,10,4.5969
1/29/2011,11,5.2342
1/29/2011,12,7.5141
1/29/2011,13,8.7186
1/29/2011,14,6.2022
1/29/2011,15,6.0282
1/29/2011,16,3.8782
1/29/2011,17,3.3519
1/29/2011,18,2.2675
1/29/2011,19,2.5501
1/29/2011,20,4.2804
1/29/2011,21,4.8904
1/29/2011,22,1.9989
1/29/2011,23,2.7063
1/30/2011,0,4.6622
1/30/2011,1,5.2387
1/30/2011,2,4.2246
1/30/2011,3,3.4268
1/30/2011,4,2.1861
1/30/2011,5,1.6583
1/30/2011,6,0.9602
1/30/2011,7,1.6588
1/30/2011,8,0.6724
1/30/2011,9,1.4563
1/30/2011,10,0.9338
1/30/2011,11,1.2171
1/30/2011,12,1.6053
1/30/2011,13,2.1069
1/30/2011,14,1.9598
1/30/2011,15,1.4110
1/30/2011,16,1.2308
1/30/2011,17,1.7732
1/30/2011,18,2.1860
1/30/2011,19,2.9785
1/30/2011,20,2.2036
1/30/2011,21,3.6245
1/30/2011,22,4.2956
1/30/2011,23,3.5314
1/31/2011,0,2.9668
1/31/2011,1,0.8155
1/31/2011,2,0.4711
1/31/2011,3,1.2293
1/31/2011,4,3.1423
1/31/2011,5,2.6639
1/31/2011,6,2.6788
1/31/2011,7,6.4331
1/31/2011,8,3.9959
1/31/2011,9,3.0609
1/31/2011,10,2.7425
1/31/2011,11,2.1947
1/31/2011,12,2.2155
1/31/2011,13,2.3139
1/31/2011,14,2.0500
1/31/2011,15,1.8724
1/31/2011,16,2.0355
1/31/2011,17,1.4703
1/31/2011,18,1.1529
1/31/2011,19,1.1250
1/31/2011,20,1.3240
1/31/2011,21,1.8643
1/31/2011,22,1.9456
1/31/2011,23,1.9644
2/1/2011,0,1.1476
2/1/2011,1,0.2681
2/1/2011,2,1.2545
2/1/2011,3,0.2681
2/1/2011,4,0.4697
2/1/2011,5,1.2152
2/1/2011,6,1.0791
2/1/2011,7,1.3848
2/1/2011,8,0.6656
2/1/2011,9,0.2694
2/1/2011,10,0.2681
2/1/2011,11,0.2681
2/1/2011,12,0.2681
2/1/2011,13,0.2681
2/1/2011,14,0.9965
2/1/2011,15,1.7544
2/1/2011,16,1.5422
2/1/2011,17,2.3869
2/1/2011,18,3.0144
2/1/2011,19,3.3587
2/1/2011,20,2.1947
2/1/2011,21,1.1549
2/1/2011,22,0.5477
2/1/2011,23,1.0758
2/2/2011,0,1.3903
2/2/2011,1,1.2257
2/2/2011,2,0.7316
2/2/2011,3,1.0194
2/2/2011,4,1.4900
2/2/2011,5,0.6962
2/2/2011,6,0.7142
2/2/2011,7,0.4802
2/2/2011,8,1.5461
2/2/2011,9,0.4552
2/2/2011,10,0.5692
2/2/2011,11,0.7538
2/2/2011,12,0.7777
2/2/2011,13,1.1750
2/2/2011,14,0.4315
2/2/2011,15,0.6377
2/2/2011,16,1.7509
2/2/2011,17,2.1883
2/2/2011,18,2.8332
2/2/2011,19,3.8601
2/2/2011,20,3.8333
2/2/2011,21,2.6925
2/2/2011,22,3.2933
2/2/2011,23,2.2579
2/3/2011,0,1.9585
2/3/2011,1,0.6354
2/3/2011,2,1.9450
2/3/2011,3,3.0536
2/3/2011,4,3.1387
2/3/2011,5,3.2337
2/3/2011,6,1.3823
2/3/2011,7,1.9771
2/3/2011,8,1.5233
2/3/2011,9,1.7574
2/3/2011,10,2.4769
2/3/2011,11,2.8472
2/3/2011,12,3.6813
2/3/2011,13,1.7564
2/3/2011,14,2.0951
2/3/2011,15,2.2882
2/3/2011,16,2.2674
2/3/2011,17,1.6814
2/3/2011,18,0.6738
2/3/2011,19,0.5820
2/3/2011,20,1.5192
2/3/2011,21,1.1023
2/3/2011,22,0.6608
2/3/2011,23,0.9218
2/4/2011,0,0.7716
2/4/2011,1,1.8986
2/4/2011,2,3.1437
2/4/2011,3,2.8382
2/4/2011,4,2.7599
2/4/2011,5,2.9071
2/4/2011,6,4.4332
2/4/2011,7,3.5084
2/4/2011,8,1.6239
2/4/2011,9,1.9946
2/4/2011,10,1.1456
2/4/2011,11,0.7084
2/4/2011,12,4.0584
2/4/2011,13,2.4819
2/4/2011,14,3.7127
2/4/2011,15,4.6639
2/4/2011,16,2.8880
2/4/2011,17,1.6044
2/4/2011,18,3.7220
2/4/2011,19,3.3342
2/4/2011,20,3.4643
2/4/2011,21,9.1278
