"codigoestacion","codigosensor","fechaobservacion","valorobservado","nombreestacion","departamento","municipio","zonahidrografica","latitud","longitud","descripcionsensor","unidadmedida"
"0026075150","0103","2020-06-03T13:00:00.000","5.9","APTO ALFONSO BONILLA ARAGON - TX GPRS","VALLE DEL CAUCA","PALMIRA","CAUCA","3.533","-76.382","Velocidad Viento (10 min)","m/s"
"0021065501","0103","2020-06-03T09:15:00.000","1.097035","JORGE VILLAMIL  - AUT","HUILA","GIGANTE","ALTO MAGDALENA","2.325552778","-75.50972222","Velocidad Viento (10 min)","m/s"
"5205500123","0103","2020-06-03T00:40:00.000","0.9","LAS IGLESIAS  - AUT","NARIÑO","PASTO","PATÍA","1.054805556","-77.27025","Velocidad Viento (10 min)","m/s"
"2604500134","0103","2020-06-03T07:20:00.000","0.2","TORIBIO ALERTAS   TORIBIO - AUT","CAUCA","TORIBÍO","CAUCA","2.952388889","-76.262083333","Velocidad Viento (10 min)","m/s"
"0023190130","0103","2020-06-03T18:30:00.000","0.3","TONA  - AUT","SANTANDER","TONA","MEDIO MAGDALENA","7.196111111","-72.97055556","Velocidad Viento (10 min)","m/s"
"0021205509","0103","2020-06-03T14:30:00.000","3.597","EL DESTINO  - AUT","BOGOTA","BOGOTA, D.C","ALTO MAGDALENA","4.397","-74.628","Velocidad Viento (10 min)","m/s"
"2612500124","0103","2020-06-03T03:30:00.000","0.7","PIJAO - AUT","QUINDÍO","PIJAO","CAUCA","4.331361111","-75.684138889","Velocidad Viento (10 min)","m/s"
"0026125508","0103","2020-06-03T09:25:00.000","0.59616","LACATALINA  - AUT","RISARALDA","PEREIRA","CAUCA","4.7475","-75.73805556","Velocidad Viento (10 min)","m/s"
"0026165501","0103","2020-06-03T04:45:00.000","0","EL CIPRES  - AUT","CALDAS","SALAMINA","CAUCA","5.433333333","-75.5","Velocidad Viento (10 min)","m/s"
"2120500135","0103","2020-06-03T14:40:00.000","2.1","UNIVERSIDAD DE LA SABANA - AUT","CUNDINAMARCA","CHÍA","ALTO MAGDALENA","4.85475","-74.032669444","Velocidad Viento (10 min)","m/s"
"0015065501","0103","2020-06-03T14:20:00.000","3.8","LA MINA CERREJON  - AUT","LA GUAJIRA","ALBANIA","CARIBE - GUAJIRA","11.13758333","-72.61594444","Velocidad Viento (10 min)","m/s"
"0026125509","0103","2020-06-03T04:10:00.000","0.009818771","ESPERANZA LA  - AUT","QUINDÍO","PIJAO","CAUCA","4.299444444","-75.72508056","Velocidad Viento (10 min)","m/s"
"0021206280","0103","2020-06-03T16:40:00.000","0.9","ACAPULCO","CUNDINAMARCA","BOJACÁ","ALTO MAGDALENA","4.653833333","-74.33305556","Velocidad Viento (10 min)","m/s"
"0023105070","0103","2020-06-03T00:20:00.000","1","MACEO - AUT","ANTIOQUIA","YOLOMBÓ","MEDIO MAGDALENA","6.571638889","-74.79472222","Velocidad Viento (10 min)","m/s"
"2305500055","0103","2020-06-03T17:20:00.000","0.1","SAN JOSE DE PENSILVANIA - AUT","CALDAS","PENSILVANIA","MEDIO MAGDALENA","5.372638889","-75.150138889","Velocidad Viento (10 min)","m/s"
"0026185501","0103","2020-06-03T11:00:00.000","0.3533174","SONSON  - AUT","ANTIOQUIA","SONSÓN","CAUCA","5.677719444","-75.34780556","Velocidad Viento (10 min)","m/s"
"3507500046","0103","2020-06-03T17:30:00.000","0.8","GRANJA GUAYATA - AUT","BOYACÁ","GUAYATÁ","META","4.976083333","-73.484027778","Velocidad Viento (10 min)","m/s"
"0026125504","0103","2020-06-03T16:55:00.000","0.008484646","PARAGUAICITO  - AUT","QUINDÍO","BUENAVISTA","CAUCA","4.395555556","-75.73416667","Velocidad Viento (10 min)","m/s"
"0016015110","0103","2020-06-03T17:10:00.000","2.3","UNIVERSIDAD FRANCISO DE PAULA SANTANDER - AUT","NORTE DE SANTANDER","CÚCUTA","CATATUMBO","7.898777778","-72.48716667","Velocidad Viento (10 min)","m/s"
"0054035501","0103","2020-06-03T14:25:00.000","1.406593","SANTIAGO GUTIERREZ  - AUT","VALLE DEL CAUCA","ARGELIA","SAN JUÁN","4.726388889","-76.11446944","Velocidad Viento (10 min)","m/s"
"0056125730","0103","2020-06-03T06:20:00.000","0.6","ESTRELLA DE AGUA - AUT","QUINDÍO","SALENTO","CAUCA","4.62325","-75.430961111","Velocidad Viento (10 min)","m/s"
"2604500039","0103","2020-06-03T06:50:00.000","0.5","CORINTO - AUT","CAUCA","CORINTO","CAUCA","3.178611111","-76.252777778","Velocidad Viento (10 min)","m/s"
